srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,Actual Label,Predicted Label
175.45.176.2,54150,149.171.126.18,520,udp,INT,4e-06,104,0,254,0,0,0,-,104000000.0,0.0,2,0,0,0,0,52,0,0,0,0.0,0.0,1421933304,0.004,0.0,0.0,0.0,0.0,0,2,0,0,0,4,4,2,2,1,1,1,0,1
175.45.176.3,17282,149.171.126.13,445,tcp,FIN,2.053772,1076,826,254,252,3,2,-,3844.633301,2898.082275,12,10,255,3964169791,1940328409,90,83,0,0,10877.55992,373.822781,1421927953,183.198267,219.520328,0.238496,0.078079,0.160417,0,1,0,0,0,3,2,1,3,1,1,1,0,1
175.45.176.0,12271,149.171.126.15,445,tcp,FIN,1.28366,994,722,254,252,3,2,-,5683.747559,3938.737549,12,8,255,2357506844,1123428610,83,90,0,0,5889.981983,248.184297,1421927966,111.19182,168.633141,0.204291,0.103224,0.101067,0,1,0,0,0,4,2,1,2,1,1,1,1,0
149.171.126.15,13005,175.45.176.3,31459,tcp,FIN,1.693212,364,359,252,254,1,2,-,1507.19458,1488.295532,8,8,255,2091652201,1684169220,46,45,0,0,17812.87474,519.239875,1421932692,241.887429,227.553719,0.158309,0.085871,0.072438,0,0,0,0,0,1,1,1,1,1,1,1,0,1
175.45.176.0,30076,149.171.126.10,520,udp,INT,1e-05,104,0,254,0,0,0,-,41600000.0,0.0,2,0,0,0,0,52,0,0,0,0.0,0.0,1421928564,0.01,0.0,0.0,0.0,0.0,0,2,0,0,0,5,5,1,1,1,1,1,1,0
175.45.176.3,19502,149.171.126.13,514,udp,INT,1e-05,144,0,254,0,0,0,-,57600000.0,0.0,2,0,0,0,0,72,0,0,0,0.0,0.0,1421932392,0.01,0.0,0.0,0.0,0.0,0,2,0,0,0,14,7,1,2,1,1,1,0,1
175.45.176.0,29746,149.171.126.10,520,udp,INT,1e-06,104,0,254,0,0,0,-,416000000.0,0.0,2,0,0,0,0,52,0,0,0,0.0,0.0,1421928404,0.001,0.0,0.0,0.0,0.0,0,2,0,0,0,3,2,1,1,1,1,1,1,0
175.45.176.1,1506,149.171.126.11,179,tcp,FIN,0.731045,29100,642,254,252,14,3,-,309091.7813,6445.567383,34,12,255,1642217305,892967886,856,54,0,0,1614.854148,73.068062,1421929877,20.15997,60.747547,0.121032,0.062815,0.058217,0,1,0,0,0,5,5,1,1,1,1,1,0,1
175.45.176.1,2314,149.171.126.11,445,tcp,FIN,1.083264,986,738,254,252,3,2,-,6676.119629,4770.76709,12,8,255,3941032485,2585325090,82,92,0,0,5513.062259,181.457391,1421928000,98.30418,136.067141,0.216618,0.130787,0.085831,0,1,0,0,0,4,1,1,3,2,1,1,0,1
175.45.176.1,28108,149.171.126.11,179,tcp,FIN,0.844152,27432,850,254,252,12,4,-,251310.2031,7553.14209,30,16,255,2516932995,460345789,914,53,0,0,2504.042791,84.470797,1421929828,29.108689,52.299934,0.113359,0.058882,0.054477,0,1,0,0,0,5,5,1,1,1,1,1,1,0
175.45.176.2,55336,149.171.126.18,520,udp,INT,2e-06,104,0,254,0,0,0,-,208000000.0,0.0,2,0,0,0,0,52,0,0,0,0.0,0.0,1421933146,0.002,0.0,0.0,0.0,0.0,0,2,0,0,0,5,3,1,1,1,1,1,1,0
175.45.176.0,38479,149.171.126.15,179,tcp,FIN,0.998654,34230,440,254,252,14,1,-,266150.25,3172.269775,34,10,255,1268218431,3986187552,1007,44,0,0,2507.179962,151.612406,1421931684,29.026455,98.291445,0.176984,0.114029,0.062955,0,1,0,0,0,7,4,1,2,2,1,1,0,1
175.45.176.3,58031,149.171.126.18,1723,tcp,FIN,2.904539,2516,354,254,252,2,1,-,6238.51123,853.835999,10,8,255,1988642644,4283790253,252,44,0,0,22386.81179,633.639937,1421933110,322.633111,399.170281,0.282844,0.110336,0.172508,0,1,0,0,0,10,2,4,4,1,1,1,0,1
175.45.176.0,7830,149.171.126.17,179,tcp,FIN,1.378113,534,268,254,252,2,1,-,2792.223877,1300.328735,10,6,255,2311241832,1894207616,53,45,0,0,9289.284777,444.478625,1421933454,153.012222,261.635,0.162228,0.069929,0.092299,0,1,0,0,0,5,3,1,1,1,1,1,0,1
175.45.176.0,57402,149.171.126.14,21554,tcp,FIN,0.71502,539,444,254,252,2,2,-,5538.306641,4352.325684,12,8,255,1914746660,138581673,45,56,0,0,4036.616408,147.470797,1421932622,65.001818,94.30843,0.10283,0.024016,0.078814,0,1,0,0,0,2,2,1,2,1,1,1,1,0
175.45.176.0,4987,149.171.126.11,179,tcp,FIN,0.699829,558,354,254,252,2,1,-,5749.976074,3543.7229,10,8,255,3827176395,628567271,56,44,0,0,4704.552279,122.329453,1421928629,73.014556,83.59243,0.151021,0.114676,0.036345,0,1,0,0,0,7,5,1,2,1,1,1,1,0
175.45.176.0,34065,149.171.126.10,520,udp,INT,1e-05,104,0,254,0,0,0,-,41600000.0,0.0,2,0,0,0,0,52,0,0,0,0.0,0.0,1421928398,0.01,0.0,0.0,0.0,0.0,0,2,0,0,0,4,4,1,1,1,1,1,1,0
175.45.176.2,50518,149.171.126.10,179,tcp,FIN,0.634753,534,268,254,252,2,1,-,6062.200684,2823.145508,10,6,255,1380649654,2147025055,53,45,0,0,3604.592898,160.076141,1421930907,70.425667,104.222602,0.159708,0.113635,0.046073,0,1,0,0,0,4,4,2,2,2,2,2,1,0
175.45.176.0,13324,149.171.126.10,179,tcp,FIN,0.98407,534,354,254,252,2,1,-,3910.291016,2520.145996,10,8,255,1471887071,3785415929,53,44,0,0,5858.525283,230.175391,1421931529,109.341111,129.901,0.184385,0.074461,0.109924,0,1,0,0,0,5,3,1,2,1,1,1,0,1
175.45.176.0,2288,149.171.126.12,3306,tcp,FIN,0.743501,608,646,254,252,2,3,-,5896.427734,6262.264648,10,10,255,1572303397,2818876593,61,65,0,0,4292.920508,104.101883,1421931317,82.611222,73.722,0.148583,0.066958,0.081625,0,1,0,0,0,2,5,2,1,1,1,1,1,0
175.45.176.0,64888,149.171.126.15,21,tcp,FIN,0.889568,576,682,254,252,3,4,ftp,4748.372559,5629.699219,12,12,255,4262475488,3643561675,48,57,0,0,4790.774966,121.002437,1421930993,80.869821,69.447633,0.128461,0.06544,0.063021,0,1,0,0,0,4,4,1,2,1,1,1,1,0
175.45.176.0,3164,149.171.126.18,80,tcp,FIN,0.525636,1344,1312,62,252,2,2,-,18415.78516,17472.16602,10,8,255,4198107935,600589090,134,164,0,0,2987.199341,129.213875,1421933549,58.404,66.46,0.082423,0.020938,0.061485,0,1,0,0,0,3,2,1,1,1,1,1,1,0
175.45.176.0,37362,149.171.126.17,179,tcp,FIN,0.596491,574,268,254,252,2,1,-,6933.885254,3004.236572,10,6,255,1397244811,2239754664,57,45,0,0,3339.392208,160.019516,1421928876,62.754556,106.729398,0.132759,0.06284,0.069919,0,1,0,0,0,1,1,1,1,1,1,1,0,1
175.45.176.3,1029,149.171.126.17,514,udp,INT,1.4e-05,230,0,254,0,0,0,-,65714284.0,0.0,2,0,0,0,0,115,0,0,0,0.0,0.0,1421933415,0.014,0.0,0.0,0.0,0.0,0,2,0,0,0,3,5,2,1,1,1,1,0,1
175.45.176.0,61726,149.171.126.13,520,udp,INT,9e-06,1066,0,254,0,0,0,-,473777760.0,0.0,2,0,0,0,0,533,0,0,0,0.0,0.0,1421930101,0.009,0.0,0.0,0.0,0.0,0,2,0,0,0,30,30,8,8,8,1,8,0,1
175.45.176.3,34032,149.171.126.11,1900,tcp,FIN,0.268598,622,268,254,252,2,1,-,16679.20117,6671.680664,10,6,255,3592972344,1385428528,62,45,0,0,1333.491859,68.470672,1421927542,23.582444,48.915602,0.032841,0.024013,0.008828,0,1,0,0,0,1,2,1,1,1,1,1,1,0
175.45.176.1,1649,149.171.126.13,135,tcp,FIN,0.220099,1612,268,254,252,2,1,-,52739.90234,8141.790527,10,6,255,237777467,468911942,161,45,0,0,1188.519697,58.990621,1421929664,22.400333,37.953801,0.077108,0.030318,0.04679,0,1,0,0,0,10,9,2,2,2,1,2,1,0
175.45.176.3,48284,149.171.126.14,445,tcp,FIN,2.212478,253307,1472,254,252,91,1,-,911390.8125,5167.057129,202,34,255,2223562151,3570448997,1254,43,0,0,1218.835703,78.663305,1421928559,10.942433,65.558273,0.141696,0.049051,0.092645,0,1,0,0,0,7,1,1,5,1,1,1,0,1
175.45.176.2,50518,149.171.126.10,179,tcp,FIN,0.634753,534,268,254,252,2,1,-,6062.200684,2823.145508,10,6,255,1380649654,2147025055,53,45,0,0,3604.592898,160.076141,1421930907,70.425667,104.222602,0.159708,0.113635,0.046073,0,1,0,0,0,4,4,2,2,2,2,2,1,0
175.45.176.2,64161,149.171.126.12,514,udp,INT,1.4e-05,878,0,254,0,0,0,-,250857136.0,0.0,2,0,0,0,0,439,0,0,0,0.0,0.0,1421933781,0.014,0.0,0.0,0.0,0.0,0,2,0,0,0,4,4,1,1,1,1,1,0,1
175.45.176.1,9250,149.171.126.14,445,tcp,FIN,1.545661,1236,798,254,252,3,2,-,5864.157715,3721.385254,12,10,255,2238070366,1031500131,103,80,0,0,7720.893943,293.865,1421927861,138.563997,165.144219,0.304104,0.059352,0.244752,0,1,0,0,0,3,2,1,1,1,1,1,1,0
175.45.176.0,50526,149.171.126.15,21,tcp,FIN,0.901544,574,682,254,252,3,4,ftp,4676.421875,5554.915039,12,12,255,1487836590,406471274,48,57,0,0,4668.620581,109.432828,1421930991,81.958543,76.953,0.08372,0.054477,0.029243,0,1,0,0,0,4,4,2,3,2,1,2,1,0
175.45.176.0,56433,149.171.126.10,80,tcp,FIN,0.499054,526,268,254,252,2,1,http,7598.375977,3590.793701,10,6,255,3464720359,3363982905,53,45,0,0,2931.287481,129.547812,1421930666,52.900667,79.973,0.183993,0.099184,0.084809,0,1,0,0,0,5,4,1,1,1,1,1,1,0
175.45.176.0,63638,149.171.126.10,179,tcp,FIN,0.84732,534,268,254,252,2,1,-,4541.377441,2114.90332,10,6,255,4182833137,996247778,53,45,0,0,5735.842817,255.107141,1421931493,94.046667,149.805797,0.142146,0.098287,0.043859,0,1,0,0,0,6,3,1,2,1,1,1,1,0
175.45.176.1,18711,149.171.126.13,179,tcp,FIN,0.619933,9514,354,254,252,5,1,-,115109.2109,4000.432129,16,8,255,3131389621,281765812,595,44,0,0,2833.988717,150.805797,1421931176,41.328865,81.929711,0.093958,0.030694,0.063264,0,1,0,0,0,4,4,1,1,1,1,1,0,1
175.45.176.0,2205,149.171.126.10,179,tcp,FIN,1.354458,534,354,254,252,2,1,-,2840.98877,1830.990723,10,8,255,3830958916,3361891775,53,44,0,0,9565.895715,263.43725,1421931577,150.495333,175.926859,0.166475,0.081781,0.084694,0,1,0,0,0,4,7,2,1,1,1,1,0,1
175.45.176.0,18688,149.171.126.17,179,tcp,FIN,0.695363,862,268,254,252,2,1,-,8927.710938,2577.071289,10,6,255,2375510743,1381055550,86,45,0,0,3829.166097,181.065453,1421928870,73.192,112.314398,0.202809,0.133781,0.069028,0,1,0,0,0,6,5,2,2,2,1,2,0,1
175.45.176.3,28257,149.171.126.14,135,tcp,FIN,0.655284,588,268,254,252,2,1,-,6470.477051,2734.692139,10,6,255,1653775487,3723811683,59,45,0,0,3441.714072,175.317469,1421930872,66.292889,113.53,0.17293,0.087624,0.085306,0,1,0,0,0,6,6,1,1,1,1,1,0,1
175.45.176.3,46541,149.171.126.17,514,udp,INT,2e-06,794,0,254,0,0,0,-,1588000000.0,0.0,2,0,0,0,0,397,0,0,0,0.0,0.0,1421933371,0.002,0.0,0.0,0.0,0.0,0,2,0,0,0,10,6,1,3,1,1,1,0,1
175.45.176.3,12881,149.171.126.14,179,tcp,FIN,0.523603,484,268,254,252,2,1,-,6661.535156,3422.440186,10,6,255,3053708249,274320904,48,45,0,0,2801.550408,123.423836,1421927708,56.215222,83.335602,0.145387,0.106921,0.038466,0,1,0,0,0,7,7,1,1,1,1,1,0,1
175.45.176.0,45907,149.171.126.17,179,tcp,FIN,2.046289,448,268,254,252,2,1,-,1532.530396,875.731628,8,6,255,1214631625,1306152508,56,45,0,0,20064.83536,537.3475,1421933427,291.66342,394.270188,0.14418,0.074933,0.069247,0,1,0,0,0,3,4,1,1,1,1,1,0,1
175.45.176.3,38959,149.171.126.14,445,tcp,FIN,1.103545,996,738,254,252,3,2,-,6618.669922,4683.089844,12,8,255,1699773536,324555431,83,92,0,0,6319.273852,205.125563,1421932242,96.027548,143.181281,0.174681,0.101265,0.073416,0,1,0,0,0,4,3,2,1,1,1,1,0,1
175.45.176.3,48255,149.171.126.19,80,tcp,FIN,0.546681,926,354,254,252,2,1,-,12204.55859,4536.466309,10,8,255,2121933236,4216192462,93,44,0,0,3761.034855,121.27175,1421934181,56.581778,68.359,0.138662,0.068158,0.070504,0,1,0,0,0,2,3,1,1,1,1,1,1,0
175.45.176.3,40203,149.171.126.18,16072,udp,INT,8e-06,114,0,254,0,0,0,-,57000000.0,0.0,2,0,0,0,0,57,0,0,0,0.0,0.0,1421934212,0.008,0.0,0.0,0.0,0.0,0,2,0,0,0,2,3,1,1,1,1,1,1,0
175.45.176.0,48669,149.171.126.14,80,tcp,FIN,0.575383,808,1218,62,252,2,1,-,10121.95313,14821.43164,10,8,255,1690034928,2002242433,81,152,0,0,1036710.077,34288.832,1421933014,10425.1203,13031.214,0.104753,0.061348,0.043405,0,1,0,0,0,5,4,1,2,1,1,1,0,1
175.45.176.2,62355,149.171.126.17,135,tcp,FIN,2.982056,588,354,254,252,2,1,-,1421.837891,831.640991,10,8,255,317446344,1128912494,59,44,0,0,22976.68187,666.2055,1421931386,331.339556,406.861281,0.22798,0.133298,0.094682,0,1,0,0,0,6,1,1,2,1,1,1,1,0
175.45.176.0,10947,149.171.126.10,179,tcp,FIN,0.523813,534,268,254,252,2,0,-,7346.132812,3421.068115,10,6,255,3781964560,1067868992,53,45,0,0,1077980.85,40185.72,1421931547,10832.6876,18054.334,0.140668,0.075099,0.065569,0,1,0,0,0,6,10,6,6,5,2,5,1,0
175.45.176.3,59173,149.171.126.10,23211,tcp,ACC,0.493678,172,86,62,252,2,2,-,2090.431396,696.810486,4,2,0,2647189597,0,43,43,0,0,9011.491388,0.0,1421931483,164.559333,0.001,0.0,0.0,0.0,0,0,0,0,0,3,3,1,1,1,1,1,0,1
175.45.176.1,56546,149.171.126.11,179,tcp,FIN,0.467829,670,268,254,252,2,1,-,10311.45996,3830.459473,10,6,255,1605751307,3170051048,67,45,0,0,2653.843231,134.631969,1421928810,50.416,80.067398,0.177107,0.067485,0.109622,0,1,0,0,0,14,8,2,3,2,1,2,0,1
175.45.176.1,56235,149.171.126.11,179,tcp,FIN,0.608099,676,354,254,252,2,1,-,8011.853516,4078.283447,10,8,255,1403419927,4102904036,68,44,0,0,4484.717423,115.005336,1421928716,67.566556,77.504,0.119111,0.064857,0.054254,0,1,0,0,0,13,7,2,4,2,1,2,1,0
175.45.176.0,8501,149.171.126.14,80,tcp,FIN,2.014017,804,1086,62,252,2,2,-,2875.844482,3777.524902,10,8,255,498250488,3147049777,80,136,0,0,13380.05824,370.932969,1421933411,223.779667,271.234719,0.238951,0.114617,0.124334,0,1,0,0,0,4,2,1,1,1,1,1,1,0
175.45.176.2,5579,149.171.126.14,80,tcp,FIN,1.054973,974,354,254,252,2,1,-,6650.407227,2350.770996,10,8,255,1776885075,3764495876,97,44,0,0,6298.252865,267.662438,1421933067,113.051444,140.571719,0.171415,0.070961,0.100454,0,1,0,0,0,1,5,2,1,1,1,1,1,0
175.45.176.3,58439,149.171.126.18,1723,tcp,FIN,0.732222,2516,354,254,252,2,1,-,24746.5918,3386.950928,10,8,255,2443505441,3504487537,252,44,0,0,5092.240972,142.736328,1421933283,81.358,92.945711,0.132784,0.080979,0.051805,0,1,0,0,0,6,4,2,3,2,1,2,1,0
175.45.176.3,8447,149.171.126.14,80,tcp,FIN,1.508982,68117,612,254,252,26,1,-,354904.1875,3016.603271,58,14,255,4090481564,4109634931,1174,44,0,0,2493.711258,160.523406,1421928038,25.443526,108.195156,0.196102,0.102435,0.093667,0,1,0,0,0,3,1,1,2,1,1,1,1,0
175.45.176.0,8498,149.171.126.14,80,tcp,CON,0.633715,756,182,62,252,2,1,-,8357.069336,1729.484131,8,4,255,1680821584,2960194329,95,46,0,0,5247.574522,259.878719,1421932817,90.530714,183.766,0.154887,0.080834,0.074053,0,3,0,0,0,5,9,2,1,1,1,1,1,0
175.45.176.0,61201,149.171.126.13,520,udp,INT,13.004217,2128,0,254,0,0,0,-,981.835327,0.0,4,0,0,0,0,532,0,0,0,6130.2375,0.0,1421930100,4334.739,0.0,0.0,0.0,0.0,0,2,0,0,0,30,30,11,11,11,1,11,1,0
175.45.176.1,19578,149.171.126.12,179,tcp,FIN,1.222742,978,642,254,252,5,3,-,5999.630371,3853.634033,16,12,255,521646637,3181347787,61,54,0,0,4433.09094,155.061766,1421930751,75.791802,105.727727,0.122367,0.059733,0.062634,0,1,0,0,0,11,11,4,8,1,1,4,1,0
175.45.176.1,50233,149.171.126.11,179,tcp,FIN,0.726821,560,354,254,252,2,1,-,5547.445801,3412.119385,10,8,255,3662647940,2865516394,56,44,0,0,5698.020659,136.641719,1421928741,80.688333,92.408289,0.121955,0.079954,0.042001,0,1,0,0,0,11,4,1,4,1,1,1,0,1
175.45.176.0,10414,149.171.126.14,80,tcp,FIN,1.06297,826,1440,62,252,2,2,-,5599.405273,9753.802734,10,10,255,2230455472,3604398661,83,144,0,0,6412.587001,204.162828,1421933247,118.107778,106.997781,0.193625,0.099311,0.094314,0,1,0,0,0,3,2,1,1,1,1,1,0,1
175.45.176.0,32168,149.171.126.10,520,udp,INT,1e-05,104,0,254,0,0,0,-,41600000.0,0.0,2,0,0,0,0,52,0,0,0,0.0,0.0,1421928587,0.01,0.0,0.0,0.0,0.0,0,2,0,0,0,14,14,2,2,2,1,2,0,1
175.45.176.2,1462,149.171.126.18,520,udp,INT,1.1e-05,104,0,254,0,0,0,-,37818180.0,0.0,2,0,0,0,0,52,0,0,0,0.0,0.0,1421933228,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,2,3,4,1,1,1,1,0,1
175.45.176.3,44542,149.171.126.14,80,tcp,FIN,1.466507,68187,698,254,252,27,1,http,365772.5625,3573.116455,60,16,255,1178303620,572510487,1136,44,0,0,2436.599405,104.851383,1421928088,24.413101,91.905336,0.167233,0.087916,0.079317,0,1,0,0,0,2,2,1,1,1,1,1,0,1
175.45.176.1,35950,149.171.126.11,80,tcp,FIN,6.704825,870,354,254,252,2,1,-,934.252563,369.882874,10,8,255,4218434305,4016606696,87,44,0,0,48612.40922,1464.89825,1421933208,744.980556,940.515688,0.207352,0.119887,0.087465,0,1,0,0,0,4,1,1,2,1,1,1,1,0
175.45.176.2,53981,149.171.126.13,179,tcp,FIN,1.575079,4658,354,254,252,3,1,-,21687.80078,1574.524292,12,8,255,3602934079,2332559010,388,44,0,0,8823.75389,319.799875,1421927996,139.899636,205.542859,0.272655,0.136269,0.136386,0,1,0,0,0,1,1,1,1,1,1,1,0,1
175.45.176.1,52089,149.171.126.11,179,tcp,FIN,0.484334,646,268,254,252,2,1,-,9613.201172,3699.926025,10,6,255,1219310899,3082246176,65,45,0,0,2436.597139,115.808758,1421928720,47.843889,86.065797,0.104455,0.053994,0.050461,0,1,0,0,0,13,6,1,1,1,1,1,1,0
175.45.176.1,22791,149.171.126.11,179,tcp,FIN,0.783696,26316,764,254,252,12,4,-,259682.3281,7247.708496,30,14,255,1385640778,1262422827,877,55,0,0,2090.297954,73.380086,1421929886,27.023999,51.058922,0.176785,0.101019,0.075766,0,1,0,0,0,4,4,1,1,1,1,1,0,1
175.45.176.1,1293,149.171.126.13,135,tcp,FIN,0.371129,1612,268,254,252,2,1,-,31277.5332,4828.509766,10,6,255,3014761831,3426079449,161,45,0,0,1962.514749,83.527555,1421929670,37.995667,58.635,0.141612,0.077943,0.063669,0,1,0,0,0,5,5,2,2,2,1,2,1,0
175.45.176.3,9978,149.171.126.19,1707,tcp,FIN,0.201753,502,268,254,252,2,1,-,17922.9043,8882.147461,10,6,255,2516197864,3627693868,50,45,0,0,1156.514712,62.619488,1421930102,20.809778,38.809199,0.025318,0.007696,0.017622,0,1,0,0,0,1,1,1,1,1,1,1,1,0
175.45.176.0,14836,149.171.126.11,80,tcp,FIN,0.685711,918,884,62,252,2,2,-,9648.378906,9030.042969,10,8,255,2462638982,4090803191,92,111,0,0,3742.667756,137.68475,1421933051,76.190111,84.064711,0.215398,0.096659,0.118739,0,1,0,0,0,6,2,1,2,2,1,1,1,0
175.45.176.1,8258,149.171.126.11,445,tcp,FIN,1.956315,998,790,254,252,3,2,-,3741.728516,2907.50708,12,10,255,3039690786,3556504998,83,79,0,0,9971.545578,376.232625,1421927933,173.679636,206.399672,0.236652,0.098717,0.137935,0,1,0,0,0,9,3,1,3,3,1,1,1,0
175.45.176.1,15289,149.171.126.15,179,tcp,FIN,1.060249,910,354,254,252,2,1,-,6179.680664,2339.073242,10,8,255,1718744595,1838513408,91,44,0,0,6518.534178,248.825891,1421931325,110.182333,140.06,0.118726,0.079825,0.038901,0,1,0,0,0,2,2,1,3,1,1,1,0,1
175.45.176.1,12008,149.171.126.15,21,tcp,FIN,3.144711,756,682,254,252,4,4,ftp,1785.855713,1592.515137,14,12,255,1713148875,261404539,54,57,0,0,17587.90418,516.210187,1421928096,241.888303,276.313906,0.180395,0.105257,0.075138,0,1,0,0,0,1,1,2,5,1,1,1,1,0
175.45.176.3,12152,149.171.126.14,179,tcp,FIN,0.373261,484,268,254,252,2,1,-,9344.667969,4800.930176,10,6,255,2291540094,2617508689,48,45,0,0,1964.60779,88.057227,1421927707,39.659667,63.681398,0.100721,0.054843,0.045878,0,1,0,0,0,7,7,2,2,2,1,2,0,1
175.45.176.1,62718,149.171.126.13,520,udp,INT,31.281267,156,0,254,0,0,0,-,29.922062,0.0,4,0,0,0,0,39,0,0,0,14746.123,0.0,1421928748,10427.089,0.0,0.0,0.0,0.0,0,2,0,0,0,12,9,2,5,2,1,2,1,0
